customerNumber,customerName,contactFirstName,contactLastName,phone,addressLine1,city,state,country,creditLimit,customerSegment
248,Alice Kamal,Alice,Kamal,+212-640-526673,168 Rue de Example,Sale,,Portugal,130282.47,Small Business
249,Eva Garcia,Eva,Garcia,+212-673-777273,16 Rue de Example,Rabat,,USA,107262.88,Small Business
250,Alice Brown,Alice,Brown,+212-706-978292,46 Rue de Example,Casablanca,,Italy,157698.15,Consumer
251,Mohamed Nguyen,Mohamed,Nguyen,+212-609-109717,77 Rue de Example,Rabat,,UK,57270.05,Partner
252,John Kamal,John,Kamal,+212-726-240718,130 Rue de Example,Sale,,Germany,38965.87,Consumer
253,Carla Dubois,Carla,Dubois,+212-765-369761,184 Rue de Example,Fes,,Morocco,147455.27,Small Business
254,Khadija Martin,Khadija,Martin,+212-644-740632,164 Rue de Example,Oujda,,Italy,103298.49,Consumer
255,Lina Jones,Lina,Jones,+212-647-247442,123 Rue de Example,Agadir,,USA,1862.61,Consumer
256,Imane Nguyen,Imane,Nguyen,+212-684-416613,150 Rue de Example,Casablanca,,Germany,130909.83,Small Business
257,Alice Jones,Alice,Jones,+212-719-421709,41 Rue de Example,Oujda,,Germany,138212.93,Small Business
258,Eva Garcia,Eva,Garcia,+212-757-331577,57 Rue de Example,Fes,,Portugal,31060.52,Small Business
259,Khadija Garcia,Khadija,Garcia,+212-706-836038,141 Rue de Example,Sale,,USA,152490.99,Small Business
260,Khadija Jones,Khadija,Jones,+212-734-568449,136 Rue de Example,Agadir,,France,183490.32,Consumer
261,John Kamal,John,Kamal,+212-651-700521,138 Rue de Example,Fes,,Spain,65959.47,Consumer
262,Bob Martin,Bob,Martin,+212-783-711474,126 Rue de Example,Rabat,,Portugal,161834.07,Consumer
263,John Hernandez,John,Hernandez,+212-716-691303,15 Rue de Example,Sale,,Germany,144794.38,Consumer
264,Alice Martin,Alice,Martin,+212-748-176577,12 Rue de Example,Oujda,,UK,140226.78,Consumer
265,Alice Jones,Alice,Jones,+212-720-133276,74 Rue de Example,Oujda,,Spain,153909.93,Small Business
266,Mohamed Hernandez,Mohamed,Hernandez,+212-695-501058,115 Rue de Example,Oujda,,Italy,16509.87,Partner
267,John Brown,John,Brown,+212-767-464663,31 Rue de Example,Fes,,Italy,106004.09,Small Business
268,David Smith,David,Smith,+212-793-123839,77 Rue de Example,Sale,,Italy,106620.75,Small Business
269,David Dubois,David,Dubois,+212-688-262656,71 Rue de Example,Tangier,,France,6927.35,Small Business
270,Khadija Smith,Khadija,Smith,+212-661-316092,18 Rue de Example,Rabat,,Morocco,89564.99,Small Business
271,Alice Martin,Alice,Martin,+212-789-146385,103 Rue de Example,Sale,,USA,108182.08,Small Business
272,Alice Brown,Alice,Brown,+212-728-403314,60 Rue de Example,Agadir,,UK,47762.35,Enterprise
273,Lina Kamal,Lina,Kamal,+212-656-533649,77 Rue de Example,Marrakech,,Morocco,111565.26,Consumer
274,Mohamed Brown,Mohamed,Brown,+212-760-811721,110 Rue de Example,Sale,,Morocco,194471.9,Enterprise
275,Lina Hernandez,Lina,Hernandez,+212-734-434217,179 Rue de Example,Oujda,,Italy,30268.91,Consumer
276,John Dubois,John,Dubois,+212-661-990598,58 Rue de Example,Marrakech,,Spain,161252.34,Enterprise
277,John Hernandez,John,Hernandez,+212-706-684357,136 Rue de Example,Fes,,Italy,48950.27,Consumer
278,Lina Jones,Lina,Jones,+212-715-988283,95 Rue de Example,Rabat,,USA,10781.56,Consumer
279,Khadija ElAmrani,Khadija,ElAmrani,+212-610-176319,49 Rue de Example,Tangier,,Portugal,42173.37,Enterprise
280,Eva Smith,Eva,Smith,+212-654-299254,190 Rue de Example,Rabat,,Portugal,182931.04,Small Business
281,Mohamed Martin,Mohamed,Martin,+212-701-350956,142 Rue de Example,Agadir,,Germany,76442.02,Consumer
282,Fatima Nguyen,Fatima,Nguyen,+212-666-477114,132 Rue de Example,Sale,,Portugal,20172.34,Partner
283,Imane Garcia,Imane,Garcia,+212-652-488712,81 Rue de Example,Oujda,,Morocco,112723.68,Consumer
284,Carla Smith,Carla,Smith,+212-666-680189,150 Rue de Example,Oujda,,Germany,30906.08,Consumer
285,Hassan ElAmrani,Hassan,ElAmrani,+212-662-623555,141 Rue de Example,Agadir,,Germany,152790.44,Consumer
286,Mohamed Dubois,Mohamed,Dubois,+212-717-276405,188 Rue de Example,Agadir,,Spain,28421.73,Consumer
287,Carla Kamal,Carla,Kamal,+212-764-161585,135 Rue de Example,Casablanca,,France,189065.03,Small Business
288,Alice Hernandez,Alice,Hernandez,+212-635-983472,162 Rue de Example,Tangier,,France,141580.33,Consumer
289,John Dubois,John,Dubois,+212-695-163386,159 Rue de Example,Sale,,Portugal,3638.49,Consumer
290,Hassan Smith,Hassan,Smith,+212-604-655134,185 Rue de Example,Marrakech,,Germany,3919.95,Small Business
291,Lina Hernandez,Lina,Hernandez,+212-645-212214,25 Rue de Example,Fes,,USA,38790.45,Consumer
292,Fatima Nguyen,Fatima,Nguyen,+212-701-182857,96 Rue de Example,Oujda,,Portugal,113217.94,Partner
293,David Nguyen,David,Nguyen,+212-775-968286,21 Rue de Example,Casablanca,,France,81353.02,Consumer
294,Imane Smith,Imane,Smith,+212-763-109909,180 Rue de Example,Fes,,France,100221.75,Consumer
295,Fatima ElAmrani,Fatima,ElAmrani,+212-624-653815,11 Rue de Example,Tangier,,USA,180303.96,Small Business
296,Khadija Dubois,Khadija,Dubois,+212-669-148823,20 Rue de Example,Marrakech,,Morocco,36281.22,Enterprise
297,Alice Martin,Alice,Martin,+212-750-251195,193 Rue de Example,Oujda,,France,60205.74,Consumer
298,Khadija Hernandez,Khadija,Hernandez,+212-773-666820,85 Rue de Example,Oujda,,Spain,158204.37,Small Business
299,Bob Kamal,Bob,Kamal,+212-790-462659,14 Rue de Example,Rabat,,Italy,46812.73,Consumer
300,Khadija ElAmrani,Khadija,ElAmrani,+212-752-515973,199 Rue de Example,Agadir,,Morocco,127007.53,Small Business
301,Imane Dubois,Imane,Dubois,+212-658-473095,142 Rue de Example,Oujda,,Italy,37554.7,Consumer
302,Hassan Jones,Hassan,Jones,+212-797-748665,76 Rue de Example,Tangier,,France,16866.58,Consumer
303,Mohamed Brown,Mohamed,Brown,+212-789-508548,82 Rue de Example,Agadir,,France,18758.33,Enterprise
304,Imane Garcia,Imane,Garcia,+212-794-382870,27 Rue de Example,Fes,,France,37884.66,Consumer
305,John Kamal,John,Kamal,+212-704-208310,7 Rue de Example,Rabat,,UK,111066.85,Consumer
306,Fatima Hernandez,Fatima,Hernandez,+212-603-406024,106 Rue de Example,Oujda,,France,145106.35,Consumer
307,David ElAmrani,David,ElAmrani,+212-733-277820,176 Rue de Example,Oujda,,Spain,28198.59,Consumer
308,Imane Brown,Imane,Brown,+212-616-275329,112 Rue de Example,Marrakech,,Italy,60300.57,Small Business
309,Fatima Nguyen,Fatima,Nguyen,+212-663-855917,161 Rue de Example,Sale,,USA,91843.4,Consumer
310,Alice Hernandez,Alice,Hernandez,+212-685-982495,159 Rue de Example,Oujda,,UK,88324.47,Consumer
311,Lina ElAmrani,Lina,ElAmrani,+212-634-415029,83 Rue de Example,Tangier,,Portugal,63179.56,Partner
312,Fatima Nguyen,Fatima,Nguyen,+212-788-828716,163 Rue de Example,Sale,,USA,65514.3,Consumer
313,Hassan Garcia,Hassan,Garcia,+212-629-691240,52 Rue de Example,Fes,,Morocco,190624.42,Consumer
314,Mohamed Martin,Mohamed,Martin,+212-712-936433,75 Rue de Example,Rabat,,Italy,134759.04,Consumer
315,Eva Martin,Eva,Martin,+212-664-790658,40 Rue de Example,Oujda,,Italy,15256.04,Partner
316,Imane ElAmrani,Imane,ElAmrani,+212-702-660324,130 Rue de Example,Oujda,,Morocco,158248.82,Consumer
317,John ElAmrani,John,ElAmrani,+212-763-189110,28 Rue de Example,Tangier,,UK,33684.53,Small Business
318,Khadija Hernandez,Khadija,Hernandez,+212-792-447704,111 Rue de Example,Rabat,,Morocco,20172.01,Consumer
319,Mohamed Kamal,Mohamed,Kamal,+212-742-708717,177 Rue de Example,Tangier,,Portugal,75136.85,Consumer
320,Lina ElAmrani,Lina,ElAmrani,+212-776-624776,39 Rue de Example,Agadir,,Morocco,96812.83,Consumer
321,Bob Jones,Bob,Jones,+212-786-248557,90 Rue de Example,Marrakech,,UK,91338.86,Consumer
322,Imane Garcia,Imane,Garcia,+212-721-202365,113 Rue de Example,Sale,,UK,13901.28,Consumer
323,Mohamed Jones,Mohamed,Jones,+212-605-990429,88 Rue de Example,Rabat,,Spain,186019.53,Small Business
324,John Brown,John,Brown,+212-741-267914,85 Rue de Example,Oujda,,Portugal,46755.18,Consumer
325,Carla Brown,Carla,Brown,+212-763-789237,111 Rue de Example,Oujda,,Morocco,147608.98,Enterprise
326,Imane ElAmrani,Imane,ElAmrani,+212-709-507723,2 Rue de Example,Tangier,,USA,56029.79,Small Business
327,Bob ElAmrani,Bob,ElAmrani,+212-626-938338,138 Rue de Example,Fes,,UK,65533.99,Consumer
328,Eva Dubois,Eva,Dubois,+212-735-770153,81 Rue de Example,Oujda,,Italy,117607.44,Consumer
329,Imane ElAmrani,Imane,ElAmrani,+212-644-953266,173 Rue de Example,Marrakech,,France,134585.96,Consumer
330,David Nguyen,David,Nguyen,+212-629-291936,96 Rue de Example,Fes,,Italy,83938.7,Consumer
331,Hassan Hernandez,Hassan,Hernandez,+212-647-610310,163 Rue de Example,Fes,,Spain,98183.58,Consumer
332,Fatima Dubois,Fatima,Dubois,+212-758-156215,92 Rue de Example,Casablanca,,Portugal,27738.68,Small Business
333,John Kamal,John,Kamal,+212-767-619013,105 Rue de Example,Sale,,Italy,142173.4,Consumer
334,Carla Jones,Carla,Jones,+212-744-132359,195 Rue de Example,Tangier,,Germany,7022.67,Consumer
335,Eva Brown,Eva,Brown,+212-799-579536,145 Rue de Example,Sale,,France,114756.45,Consumer
336,John Garcia,John,Garcia,+212-738-962570,194 Rue de Example,Casablanca,,Portugal,109497.48,Partner
337,Bob Martin,Bob,Martin,+212-676-133796,116 Rue de Example,Marrakech,,UK,172508.83,Consumer
338,Bob Martin,Bob,Martin,+212-653-950083,189 Rue de Example,Agadir,,Italy,33613.33,Consumer
339,David Martin,David,Martin,+212-615-697766,90 Rue de Example,Marrakech,,Spain,65068.9,Small Business
340,Eva ElAmrani,Eva,ElAmrani,+212-668-999695,132 Rue de Example,Rabat,,Spain,192573.01,Small Business
341,Alice Nguyen,Alice,Nguyen,+212-767-233051,180 Rue de Example,Fes,,USA,29675.57,Consumer
342,David Hernandez,David,Hernandez,+212-725-249077,148 Rue de Example,Marrakech,,Italy,75346.88,Consumer
343,Bob Hernandez,Bob,Hernandez,+212-731-886224,72 Rue de Example,Agadir,,Portugal,190075.69,Consumer
344,Alice Jones,Alice,Jones,+212-787-580718,163 Rue de Example,Agadir,,France,159237.75,Consumer
345,Hassan Martin,Hassan,Martin,+212-726-381581,83 Rue de Example,Marrakech,,UK,109688.45,Consumer
346,Imane Garcia,Imane,Garcia,+212-774-899281,13 Rue de Example,Casablanca,,France,125422.81,Small Business
347,Alice Jones,Alice,Jones,+212-640-562721,117 Rue de Example,Casablanca,,Italy,40862.48,Small Business
348,Carla Nguyen,Carla,Nguyen,+212-640-387330,24 Rue de Example,Agadir,,Germany,16942.9,Small Business
349,Lina Brown,Lina,Brown,+212-613-515594,161 Rue de Example,Marrakech,,USA,86131.57,Consumer
350,Bob Smith,Bob,Smith,+212-654-599968,20 Rue de Example,Fes,,USA,104129.13,Consumer
351,Alice Garcia,Alice,Garcia,+212-630-542828,178 Rue de Example,Fes,,Portugal,14630.25,Consumer
352,Mohamed Jones,Mohamed,Jones,+212-626-428572,95 Rue de Example,Marrakech,,Spain,76852.85,Small Business
353,Carla Brown,Carla,Brown,+212-617-656278,145 Rue de Example,Casablanca,,Spain,88299.83,Small Business
354,Lina Brown,Lina,Brown,+212-705-746002,176 Rue de Example,Sale,,USA,17794.26,Consumer
355,Bob ElAmrani,Bob,ElAmrani,+212-786-502686,90 Rue de Example,Oujda,,UK,158319.79,Consumer
356,Lina Jones,Lina,Jones,+212-663-680278,154 Rue de Example,Marrakech,,Morocco,169654.47,Small Business
357,Eva Martin,Eva,Martin,+212-732-736408,131 Rue de Example,Tangier,,Italy,59460.64,Consumer
358,David Dubois,David,Dubois,+212-698-218220,62 Rue de Example,Sale,,France,105893.16,Partner
359,Fatima Garcia,Fatima,Garcia,+212-633-505629,146 Rue de Example,Oujda,,UK,109498.07,Consumer
360,Imane Jones,Imane,Jones,+212-604-715895,18 Rue de Example,Casablanca,,Germany,43540.72,Enterprise
361,Hassan Kamal,Hassan,Kamal,+212-673-759104,183 Rue de Example,Oujda,,Italy,140511.22,Consumer
362,John Kamal,John,Kamal,+212-757-260097,72 Rue de Example,Rabat,,Germany,16264.8,Enterprise
363,Carla Kamal,Carla,Kamal,+212-683-509711,151 Rue de Example,Rabat,,Germany,139885.84,Small Business
364,David Smith,David,Smith,+212-662-190400,112 Rue de Example,Rabat,,Portugal,122653.21,Consumer
365,Lina Brown,Lina,Brown,+212-630-113280,182 Rue de Example,Fes,,Morocco,33184.61,Partner
366,John Kamal,John,Kamal,+212-784-371840,43 Rue de Example,Agadir,,Spain,150080.39,Enterprise
367,Mohamed Jones,Mohamed,Jones,+212-797-130782,86 Rue de Example,Oujda,,Germany,105008.92,Consumer
368,Khadija Jones,Khadija,Jones,+212-727-577309,131 Rue de Example,Agadir,,Morocco,100172.2,Consumer
369,Fatima Brown,Fatima,Brown,+212-665-910894,27 Rue de Example,Rabat,,USA,148285.6,Consumer
370,Alice Martin,Alice,Martin,+212-611-594681,94 Rue de Example,Oujda,,Spain,36202.71,Partner
371,Alice Kamal,Alice,Kamal,+212-782-876644,168 Rue de Example,Oujda,,USA,64699.5,Consumer
372,Mohamed Garcia,Mohamed,Garcia,+212-669-966120,20 Rue de Example,Agadir,,France,100657.17,Enterprise
373,Carla Martin,Carla,Martin,+212-732-148159,103 Rue de Example,Rabat,,Portugal,173273.43,Small Business
374,Eva Garcia,Eva,Garcia,+212-622-679958,117 Rue de Example,Casablanca,,UK,40533.9,Consumer
375,Eva ElAmrani,Eva,ElAmrani,+212-662-586462,95 Rue de Example,Sale,,USA,146626.44,Consumer
376,David Brown,David,Brown,+212-601-529954,7 Rue de Example,Tangier,,UK,127370.4,Small Business
377,Alice Garcia,Alice,Garcia,+212-600-895794,169 Rue de Example,Oujda,,Germany,21237.83,Consumer
378,David Hernandez,David,Hernandez,+212-725-162804,37 Rue de Example,Marrakech,,France,9258.1,Consumer
379,John Hernandez,John,Hernandez,+212-779-490586,118 Rue de Example,Rabat,,France,101332.84,Small Business
380,Hassan Jones,Hassan,Jones,+212-751-695403,16 Rue de Example,Oujda,,Spain,47735.96,Consumer
381,Fatima Hernandez,Fatima,Hernandez,+212-779-972310,189 Rue de Example,Agadir,,UK,90825.19,Consumer
382,David Brown,David,Brown,+212-799-907557,150 Rue de Example,Rabat,,Spain,21578.72,Consumer
383,Fatima Hernandez,Fatima,Hernandez,+212-630-661957,92 Rue de Example,Tangier,,Portugal,62007.39,Consumer
384,Bob Jones,Bob,Jones,+212-640-946826,176 Rue de Example,Marrakech,,Morocco,43396.65,Enterprise
385,Carla Jones,Carla,Jones,+212-782-360276,92 Rue de Example,Oujda,,Morocco,135598.08,Consumer
386,Carla Smith,Carla,Smith,+212-703-996114,116 Rue de Example,Tangier,,France,92677.63,Small Business
387,Carla Jones,Carla,Jones,+212-603-164664,200 Rue de Example,Tangier,,Spain,40027.54,Consumer
388,Lina Jones,Lina,Jones,+212-749-714590,67 Rue de Example,Rabat,,Morocco,199433.7,Consumer
389,Lina Dubois,Lina,Dubois,+212-632-196446,85 Rue de Example,Rabat,,Morocco,188484.99,Consumer
390,Khadija Hernandez,Khadija,Hernandez,+212-785-514186,128 Rue de Example,Casablanca,,Italy,136800.98,Consumer
391,David Brown,David,Brown,+212-670-393448,115 Rue de Example,Fes,,Morocco,123014.26,Small Business
392,Lina Nguyen,Lina,Nguyen,+212-727-532005,141 Rue de Example,Sale,,Morocco,18000.45,Consumer
393,Hassan Martin,Hassan,Martin,+212-764-935922,135 Rue de Example,Tangier,,Morocco,197886.02,Small Business
394,Fatima Dubois,Fatima,Dubois,+212-739-919394,125 Rue de Example,Agadir,,UK,77982.06,Consumer
395,Fatima ElAmrani,Fatima,ElAmrani,+212-656-130726,200 Rue de Example,Marrakech,,Morocco,161826.45,Consumer
396,Fatima ElAmrani,Fatima,ElAmrani,+212-659-267378,26 Rue de Example,Tangier,,USA,53672.14,Small Business
397,Mohamed Smith,Mohamed,Smith,+212-795-330069,148 Rue de Example,Oujda,,UK,187073.6,Partner
398,Carla Brown,Carla,Brown,+212-660-721301,82 Rue de Example,Agadir,,Morocco,140838.85,Consumer
399,Khadija ElAmrani,Khadija,ElAmrani,+212-636-690462,49 Rue de Example,Sale,,Germany,35523.58,Consumer
400,Alice Martin,Alice,Martin,+212-754-329437,6 Rue de Example,Sale,,Morocco,66680.93,Small Business
401,Carla Garcia,Carla,Garcia,+212-783-286080,83 Rue de Example,Casablanca,,Morocco,29968.55,Small Business
402,Carla Jones,Carla,Jones,+212-734-482614,19 Rue de Example,Agadir,,Italy,117410.32,Consumer
403,Fatima Brown,Fatima,Brown,+212-640-867926,112 Rue de Example,Sale,,UK,35253.43,Partner
404,Mohamed ElAmrani,Mohamed,ElAmrani,+212-691-334081,171 Rue de Example,Fes,,Italy,61711.23,Small Business
405,Carla Brown,Carla,Brown,+212-786-101885,180 Rue de Example,Oujda,,Morocco,36825.31,Consumer
406,Khadija Martin,Khadija,Martin,+212-763-693022,27 Rue de Example,Sale,,Spain,66568.1,Consumer
407,Fatima Garcia,Fatima,Garcia,+212-642-767090,23 Rue de Example,Agadir,,Portugal,2773.43,Consumer
408,Mohamed Jones,Mohamed,Jones,+212-689-369125,28 Rue de Example,Casablanca,,Morocco,77494.45,Small Business
409,Carla Hernandez,Carla,Hernandez,+212-726-497108,90 Rue de Example,Oujda,,France,165846.99,Small Business
410,Khadija Martin,Khadija,Martin,+212-641-573209,19 Rue de Example,Casablanca,,Germany,4505.56,Consumer
411,Bob Jones,Bob,Jones,+212-687-278368,97 Rue de Example,Fes,,France,109635.73,Enterprise
412,Bob Garcia,Bob,Garcia,+212-752-743453,124 Rue de Example,Casablanca,,Italy,188517.23,Consumer
413,Hassan Brown,Hassan,Brown,+212-613-206176,85 Rue de Example,Tangier,,USA,82151.33,Consumer
414,Mohamed Kamal,Mohamed,Kamal,+212-667-792687,73 Rue de Example,Marrakech,,USA,19635.23,Consumer
415,John Dubois,John,Dubois,+212-639-157152,93 Rue de Example,Casablanca,,Italy,17981.86,Small Business
416,Lina ElAmrani,Lina,ElAmrani,+212-722-309374,25 Rue de Example,Casablanca,,USA,34581.02,Consumer
417,Bob Dubois,Bob,Dubois,+212-629-423331,102 Rue de Example,Sale,,Portugal,179028.06,Consumer
418,Lina Kamal,Lina,Kamal,+212-699-293862,95 Rue de Example,Oujda,,UK,37723.3,Consumer
419,Imane Dubois,Imane,Dubois,+212-667-337232,69 Rue de Example,Casablanca,,Spain,150570.91,Small Business
420,Bob Garcia,Bob,Garcia,+212-738-534096,194 Rue de Example,Tangier,,Morocco,168239.03,Small Business
421,Hassan Kamal,Hassan,Kamal,+212-775-597889,147 Rue de Example,Tangier,,Portugal,60121.0,Consumer
422,Mohamed Smith,Mohamed,Smith,+212-728-698967,133 Rue de Example,Fes,,France,189876.34,Consumer
423,Carla Martin,Carla,Martin,+212-649-232315,11 Rue de Example,Oujda,,France,197661.85,Consumer
424,Lina Brown,Lina,Brown,+212-752-370413,82 Rue de Example,Rabat,,France,77925.78,Consumer
425,Fatima Nguyen,Fatima,Nguyen,+212-733-580412,4 Rue de Example,Oujda,,France,83181.26,Consumer
426,Khadija ElAmrani,Khadija,ElAmrani,+212-794-205071,28 Rue de Example,Rabat,,Germany,173561.32,Enterprise
427,Hassan Nguyen,Hassan,Nguyen,+212-698-786594,125 Rue de Example,Sale,,Morocco,34853.85,Consumer
428,Khadija ElAmrani,Khadija,ElAmrani,+212-774-827356,103 Rue de Example,Casablanca,,Italy,177970.06,Consumer
429,David Smith,David,Smith,+212-790-598302,69 Rue de Example,Agadir,,Morocco,67904.28,Small Business
430,Eva Nguyen,Eva,Nguyen,+212-725-999924,179 Rue de Example,Rabat,,USA,27309.91,Partner
431,Imane Garcia,Imane,Garcia,+212-668-864201,107 Rue de Example,Rabat,,USA,88622.46,Enterprise
432,Hassan Dubois,Hassan,Dubois,+212-794-641590,96 Rue de Example,Casablanca,,Spain,13590.59,Small Business
433,Hassan Brown,Hassan,Brown,+212-799-992647,135 Rue de Example,Casablanca,,Spain,38956.31,Small Business
434,Alice Martin,Alice,Martin,+212-608-578621,13 Rue de Example,Agadir,,USA,55158.51,Small Business
435,John Hernandez,John,Hernandez,+212-762-229890,175 Rue de Example,Casablanca,,USA,74807.12,Consumer
436,Carla Dubois,Carla,Dubois,+212-750-678115,90 Rue de Example,Agadir,,Spain,167611.93,Consumer
437,Mohamed Jones,Mohamed,Jones,+212-672-128783,99 Rue de Example,Casablanca,,Spain,170837.35,Small Business
438,David Martin,David,Martin,+212-765-336047,174 Rue de Example,Tangier,,Germany,130491.67,Consumer
439,Lina Smith,Lina,Smith,+212-721-238741,166 Rue de Example,Fes,,Morocco,45142.12,Small Business
440,Eva Nguyen,Eva,Nguyen,+212-708-494763,90 Rue de Example,Sale,,Germany,44032.71,Consumer
441,John ElAmrani,John,ElAmrani,+212-701-712879,27 Rue de Example,Casablanca,,UK,112510.69,Consumer
442,Eva Nguyen,Eva,Nguyen,+212-775-213355,124 Rue de Example,Rabat,,UK,197678.01,Small Business
443,Eva Nguyen,Eva,Nguyen,+212-767-845635,167 Rue de Example,Marrakech,,USA,30410.89,Small Business
444,Alice ElAmrani,Alice,ElAmrani,+212-703-792616,82 Rue de Example,Fes,,Morocco,131252.41,Partner
445,Eva Hernandez,Eva,Hernandez,+212-703-507135,189 Rue de Example,Casablanca,,USA,68961.83,Small Business
446,Lina Kamal,Lina,Kamal,+212-763-923024,122 Rue de Example,Agadir,,Germany,169161.14,Small Business
447,John Brown,John,Brown,+212-675-202344,121 Rue de Example,Fes,,Germany,145174.73,Consumer
448,Carla Garcia,Carla,Garcia,+212-767-193637,57 Rue de Example,Agadir,,USA,148969.88,Consumer
449,Fatima Garcia,Fatima,Garcia,+212-666-714015,76 Rue de Example,Sale,,France,94372.05,Enterprise
450,Khadija ElAmrani,Khadija,ElAmrani,+212-758-174675,121 Rue de Example,Tangier,,France,173565.8,Consumer
451,Eva Hernandez,Eva,Hernandez,+212-613-995735,39 Rue de Example,Fes,,USA,68862.64,Partner
452,Imane Brown,Imane,Brown,+212-680-850432,47 Rue de Example,Rabat,,Portugal,66859.57,Partner
453,Fatima Smith,Fatima,Smith,+212-601-574012,71 Rue de Example,Tangier,,Spain,115467.64,Consumer
454,Bob Brown,Bob,Brown,+212-757-554779,163 Rue de Example,Oujda,,Italy,86090.58,Consumer
455,Alice Smith,Alice,Smith,+212-736-309100,188 Rue de Example,Agadir,,Morocco,178455.28,Small Business
456,John Martin,John,Martin,+212-604-809621,2 Rue de Example,Tangier,,USA,138858.19,Consumer
457,Carla Jones,Carla,Jones,+212-698-627786,151 Rue de Example,Marrakech,,Spain,13524.76,Consumer
458,Eva Dubois,Eva,Dubois,+212-786-645561,153 Rue de Example,Agadir,,Italy,177650.82,Partner
459,Fatima Dubois,Fatima,Dubois,+212-691-886553,49 Rue de Example,Fes,,Italy,4315.38,Consumer
460,Carla Martin,Carla,Martin,+212-787-122977,151 Rue de Example,Fes,,France,73634.99,Small Business
461,Alice Hernandez,Alice,Hernandez,+212-763-368214,198 Rue de Example,Casablanca,,Morocco,132563.0,Small Business
462,Alice Smith,Alice,Smith,+212-776-221414,107 Rue de Example,Sale,,Italy,25157.22,Consumer
463,Mohamed Brown,Mohamed,Brown,+212-652-828961,176 Rue de Example,Casablanca,,Germany,84463.86,Consumer
464,John Nguyen,John,Nguyen,+212-759-735053,180 Rue de Example,Fes,,Italy,166215.22,Consumer
465,Mohamed ElAmrani,Mohamed,ElAmrani,+212-630-396439,30 Rue de Example,Rabat,,Portugal,40130.01,Consumer
466,Eva Kamal,Eva,Kamal,+212-651-475308,181 Rue de Example,Oujda,,Germany,32494.53,Consumer
467,David Dubois,David,Dubois,+212-684-345896,1 Rue de Example,Casablanca,,France,181422.57,Small Business
468,Lina Dubois,Lina,Dubois,+212-638-194458,200 Rue de Example,Rabat,,France,181003.49,Small Business
469,Imane Nguyen,Imane,Nguyen,+212-667-586830,13 Rue de Example,Rabat,,Spain,174891.02,Enterprise
470,Fatima Garcia,Fatima,Garcia,+212-709-874415,30 Rue de Example,Rabat,,Morocco,2429.63,Consumer
471,Lina Brown,Lina,Brown,+212-684-474894,113 Rue de Example,Marrakech,,France,74838.12,Consumer
472,Bob Hernandez,Bob,Hernandez,+212-702-578715,70 Rue de Example,Oujda,,Portugal,160079.87,Small Business
473,Carla Jones,Carla,Jones,+212-633-829987,186 Rue de Example,Casablanca,,Spain,21190.76,Enterprise
474,Imane ElAmrani,Imane,ElAmrani,+212-773-559447,47 Rue de Example,Oujda,,UK,122466.0,Enterprise
475,Mohamed Brown,Mohamed,Brown,+212-723-611833,29 Rue de Example,Oujda,,Portugal,9671.48,Consumer
476,Fatima Smith,Fatima,Smith,+212-780-810859,135 Rue de Example,Tangier,,UK,104060.39,Small Business
477,Khadija Jones,Khadija,Jones,+212-710-793856,187 Rue de Example,Tangier,,Portugal,69477.02,Small Business
478,Hassan Brown,Hassan,Brown,+212-742-742686,14 Rue de Example,Casablanca,,Spain,101360.73,Consumer
479,Imane Brown,Imane,Brown,+212-619-887931,126 Rue de Example,Agadir,,USA,66513.52,Consumer
480,John Martin,John,Martin,+212-740-774567,97 Rue de Example,Oujda,,USA,16226.7,Consumer
481,Khadija Dubois,Khadija,Dubois,+212-622-998198,128 Rue de Example,Sale,,UK,24182.02,Consumer
482,Lina Smith,Lina,Smith,+212-626-523037,106 Rue de Example,Casablanca,,Morocco,165268.8,Small Business
483,Khadija Nguyen,Khadija,Nguyen,+212-730-689648,53 Rue de Example,Sale,,UK,72986.82,Consumer
484,David Dubois,David,Dubois,+212-684-687360,197 Rue de Example,Sale,,UK,143324.74,Consumer
485,Lina Martin,Lina,Martin,+212-600-457938,91 Rue de Example,Marrakech,,UK,140568.16,Consumer
486,Carla Dubois,Carla,Dubois,+212-635-961760,184 Rue de Example,Oujda,,France,51230.72,Consumer
487,Bob Hernandez,Bob,Hernandez,+212-655-579247,49 Rue de Example,Agadir,,France,151551.29,Consumer
488,Lina ElAmrani,Lina,ElAmrani,+212-631-909652,116 Rue de Example,Sale,,Spain,192789.02,Consumer
489,Mohamed Smith,Mohamed,Smith,+212-741-553834,150 Rue de Example,Sale,,Spain,138517.63,Consumer
490,Carla Jones,Carla,Jones,+212-699-789461,154 Rue de Example,Agadir,,Italy,84023.62,Small Business
491,Mohamed Martin,Mohamed,Martin,+212-670-517196,88 Rue de Example,Marrakech,,Portugal,161056.97,Consumer
492,Khadija Kamal,Khadija,Kamal,+212-676-984027,180 Rue de Example,Agadir,,USA,40577.37,Small Business
493,Eva Garcia,Eva,Garcia,+212-772-239116,182 Rue de Example,Fes,,UK,142215.37,Small Business
494,John Dubois,John,Dubois,+212-749-698357,171 Rue de Example,Oujda,,Germany,175556.71,Consumer
495,Alice Kamal,Alice,Kamal,+212-627-126499,98 Rue de Example,Fes,,Morocco,134215.71,Consumer
496,Carla Nguyen,Carla,Nguyen,+212-774-362732,38 Rue de Example,Casablanca,,Germany,41198.18,Consumer
